date;match_id;team1;team2;map1;map1_score;map2;map2_score;map3;map3_score
23rd of november 2012;8892824;absolute-legends;western-wolves;mirage_ce;16:10;;;;
23rd of november 2012;8892827;verygames;absolute-legends;nuke_se;16:11;;;;
23rd of november 2012;8892828;absolute-legends;3dmax;mirage_ce;16:8;;;;
23rd of november 2012;8892829;absolute-legends;hawks;dust2_se;16:9;;;;
23rd of november 2012;8892830;anexis;lemondogs;mirage_ce;15:15;;;;
23rd of november 2012;8892831;nfaculty;lemondogs;inferno_se;15:15;;;;
23rd of november 2012;8892832;dynamic;lemondogs;inferno_se;4:16;;;;
23rd of november 2012;8892833;nip;progamingtd;mirage_ce;16:5;inferno_se;16:10;;
24th of november 2012;8892834;lemondogs;absolute-legends;inferno_se;16:13;dust2_se;16:7;;
23rd of november 2012;8892835;cph-wolves;mousesports;mirage_ce;11:16;nuke_se;3:16;;
24th of november 2012;8892836;verygames;dynamic;Best of 3;2:0;;;;
24th of november 2012;8892840;nip;mousesports;dust2_se;16:14;nuke_se;16:5;;
24th of november 2012;8892847;verygames;lemondogs;dust2_se;16:5;inferno_se;16:9;;
24th of november 2012;8892848;nip;verygames;dust2_se;16:9;inferno_se;16:1;;
25th of november 2012;8892853;ases;cplay;mirage_ce;8:16;;;;
25th of november 2012;8892855;maxfloplay;mydgbnet;mirage_ce;16:7;;;;
25th of november 2012;8892856;alternate-attax;fr34kshow;mirage_ce;13:16;;;;
25th of november 2012;8892857;dat;nextgaming;mirage_ce;16:10;;;;
25th of november 2012;8892858;mousesports;znation;train_se;15:15;;;;
25th of november 2012;8892861;delta;clan-poland;train_se;16:8;;;;
25th of november 2012;8892862;boomslave;give-it-all;train_se;16:12;;;;
27th of november 2012;8893389;esc;maxfloplay;train_se;16:11;;;;
26th of november 2012;8893391;gamedde;myrevenge;mirage_ce;16:1;;;;
26th of november 2012;8893394;mousesports;imaginary;nuke_se;16:7;;;;
26th of november 2012;8893396;esc;imaginary;mirage_ce;13:16;;;;
27th of november 2012;8893467;natus-vincere;imaginary;dust2_se;4:16;;;;
27th of november 2012;8893506;nip;finest;mirage_ce;16:4;;;;
